Packet Number,Time,Battery Voltage,Altitude,Temperature,Humidity,Lux,State,alt_th
0,3299,3.567116,65501,22,47,239,0,234
1,3300,3.583726,65501,22,47,242,0,234
2,3301,3.579574,65502,22,47,241,0,234
3,3302,3.592031,65500,22,47,241,0,234
4,3303,3.558810,65501,22,47,244,0,234
5,3304,3.525589,65500,22,47,241,0,234
6,3305,3.587879,65501,22,47,244,0,234
7,3306,3.575421,65501,22,47,241,0,234
8,3308,3.492368,65501,22,47,240,0,234
9,3310,3.554658,65501,22,47,241,0,234
10,3311,3.554658,65501,22,47,238,0,234
11,3312,3.471605,65501,22,47,239,0,234
12,3313,3.554658,65501,22,47,242,0,234
13,3315,3.475758,65500,22,47,242,0,234
14,3318,3.504826,65501,22,47,243,0,234
15,3319,3.471605,65501,22,47,243,0,234
16,3320,3.471605,65502,22,47,243,0,234
17,3321,3.504826,65501,22,47,239,0,234
18,3322,3.546352,65501,22,47,243,0,234
19,3324,3.488215,65502,22,47,244,0,234
20,3325,3.508979,65530,22,47,244,1,234
21,3326,3.546352,118,22,47,235,1,234
22,3327,3.479910,222,22,47,248,1,234
23,3329,3.546352,402,22,47,252,1,234
24,3330,3.471605,472,22,47,252,1,234
25,3331,3.592031,511,22,47,245,1,234
26,3333,3.475758,550,22,47,255,1,234
27,3334,3.525589,569,22,47,247,1,234
28,3335,3.467452,579,22,47,250,1,234
29,3336,3.592031,576,22,47,246,1,234
30,3337,3.567116,558,22,47,251,1,234
31,3338,3.484063,531,22,47,250,1,234
32,3340,3.538047,509,22,47,249,1,234
33,3341,3.463300,491,22,47,249,1,234
34,3342,3.542200,452,22,47,248,1,234
35,3343,3.538047,412,22,47,243,1,234
36,3344,3.542200,410,22,47,248,1,234
37,3345,3.492368,403,22,47,246,1,234
38,3346,3.592031,393,22,47,249,1,234
39,3347,3.587879,385,22,47,244,1,234
40,3349,3.538047,377,22,47,242,1,234
41,3350,3.554658,365,22,47,244,1,234
42,3351,3.517284,356,22,47,249,1,234
43,3352,3.492368,348,22,47,252,1,234
44,3354,3.558810,331,22,47,249,1,234
45,3356,3.546352,323,22,47,247,1,234
46,3359,3.558810,294,22,47,251,1,234
47,3360,3.467452,286,22,47,248,1,234
48,3361,3.575421,276,22,47,250,1,234
49,3362,3.546352,267,22,47,245,1,234
50,3363,3.575421,257,22,47,250,1,234
51,3365,3.467452,247,22,47,252,1,234
52,3366,3.525589,239,22,47,249,1,234
53,3367,3.571268,232,22,47,252,1,234
54,3368,3.533895,221,22,47,249,1,234
55,3369,3.546352,209,22,47,250,1,234
56,3370,3.567116,200,22,47,250,1,234
57,3371,3.538047,189,22,47,251,1,234
58,3372,3.533895,180,22,47,250,1,234
59,3374,3.446689,173,22,47,735,1,234
60,3375,3.488215,120,22,47,851,1,234
61,3376,3.538047,115,22,47,850,1,234
62,3377,3.533895,110,22,45,837,1,234
63,3378,3.583726,105,22,45,856,1,234
64,3379,3.459147,97,22,44,837,1,234
65,3381,3.542200,90,22,44,858,1,234
66,3382,3.550505,89,22,43,850,1,234
67,3383,3.479910,86,22,43,858,1,234
68,3384,3.546352,74,22,42,849,1,234
69,3385,3.459147,69,22,42,855,1,234
70,3386,3.517284,70,22,41,849,1,234
71,3387,3.587879,63,22,41,836,1,234
72,3388,3.550505,56,22,40,841,1,234
73,3390,3.542200,53,22,40,852,1,234
74,3391,3.459147,47,22,40,833,1,234
75,3392,3.571268,38,22,40,854,1,234
76,3393,3.538047,33,22,39,856,1,234
77,3394,3.459147,28,22,39,851,1,234
78,3395,3.579574,20,22,39,859,1,234
79,3396,3.550505,12,22,39,828,1,234
80,3397,3.542200,10,22,39,859,1,234
81,3399,3.538047,3,22,39,848,1,234
82,3400,3.546352,65534,22,38,850,1,234
83,3401,3.488215,65527,22,38,861,1,234
